compat,pairwise,theta_alpha,theta_beta,theta_gamma
3,True,1,1,3
3,True,1,11,3
3,True,1,21,3
3,True,1,31,3
3,True,1,41,3
3,True,1,51,3
3,True,1,61,3
3,True,1,71,3
3,True,1,81,3
3,True,1,91,3
3,True,11,1,3
3,True,11,11,3
3,True,11,21,3
3,True,11,31,3
3,True,11,41,3
3,True,11,51,3
3,True,11,61,3
3,True,11,71,3
3,True,11,81,3
3,True,11,91,3
3,True,21,1,3
3,True,21,11,3
3,True,21,21,3
3,True,21,31,3
3,True,21,41,3
3,True,21,51,3
3,True,21,61,3
3,True,21,71,3
3,True,21,81,3
3,True,21,91,3
3,True,31,1,3
3,True,31,11,3
3,True,31,21,3
3,True,31,31,3
3,True,31,41,3
3,True,31,51,3
3,True,31,61,3
3,True,31,71,3
3,True,31,81,3
3,True,31,91,3
3,True,41,1,3
3,True,41,11,3
3,True,41,21,3
3,True,41,31,3
3,True,41,41,3
3,True,41,51,3
3,True,41,61,3
3,True,41,71,3
3,True,41,81,3
3,True,41,91,3
3,True,51,1,3
3,True,51,11,3
3,True,51,21,3
3,True,51,31,3
3,True,51,41,3
3,True,51,51,3
3,True,51,61,3
3,True,51,71,3
3,True,51,81,3
3,True,51,91,3
3,True,61,1,3
3,True,61,11,3
3,True,61,21,3
3,True,61,31,3
3,True,61,41,3
3,True,61,51,3
3,True,61,61,3
3,True,61,71,3
3,True,61,81,3
3,True,61,91,3
3,True,71,1,3
3,True,71,11,3
3,True,71,21,3
3,True,71,31,3
3,True,71,41,3
3,True,71,51,3
3,True,71,61,3
3,True,71,71,3
3,True,71,81,3
3,True,71,91,3
3,True,81,1,3
3,True,81,11,3
3,True,81,21,3
3,True,81,31,3
3,True,81,41,3
3,True,81,51,3
3,True,81,61,3
3,True,81,71,3
3,True,81,81,3
3,True,81,91,3
3,True,91,1,3
3,True,91,11,3
3,True,91,21,3
3,True,91,31,3
3,True,91,41,3
3,True,91,51,3
3,True,91,61,3
3,True,91,71,3
3,True,91,81,3
3,True,91,91,3
