compat,pairwise,theta_alpha,theta_beta,theta_gamma
3,False,1,1,3
3,False,1,11,3
3,False,1,21,3
3,False,1,31,3
3,False,1,41,3
3,False,1,51,3
3,False,1,61,3
3,False,1,71,3
3,False,1,81,3
3,False,1,91,3
3,False,11,1,3
3,False,11,11,3
3,False,11,21,3
3,False,11,31,3
3,False,11,41,3
3,False,11,51,3
3,False,11,61,3
3,False,11,71,3
3,False,11,81,3
3,False,11,91,3
3,False,21,1,3
3,False,21,11,3
3,False,21,21,3
3,False,21,31,3
3,False,21,41,3
3,False,21,51,3
3,False,21,61,3
3,False,21,71,3
3,False,21,81,3
3,False,21,91,3
3,False,31,1,3
3,False,31,11,3
3,False,31,21,3
3,False,31,31,3
3,False,31,41,3
3,False,31,51,3
3,False,31,61,3
3,False,31,71,3
3,False,31,81,3
3,False,31,91,3
3,False,41,1,3
3,False,41,11,3
3,False,41,21,3
3,False,41,31,3
3,False,41,41,3
3,False,41,51,3
3,False,41,61,3
3,False,41,71,3
3,False,41,81,3
3,False,41,91,3
3,False,51,1,3
3,False,51,11,3
3,False,51,21,3
3,False,51,31,3
3,False,51,41,3
3,False,51,51,3
3,False,51,61,3
3,False,51,71,3
3,False,51,81,3
3,False,51,91,3
3,False,61,1,3
3,False,61,11,3
3,False,61,21,3
3,False,61,31,3
3,False,61,41,3
3,False,61,51,3
3,False,61,61,3
3,False,61,71,3
3,False,61,81,3
3,False,61,91,3
3,False,71,1,3
3,False,71,11,3
3,False,71,21,3
3,False,71,31,3
3,False,71,41,3
3,False,71,51,3
3,False,71,61,3
3,False,71,71,3
3,False,71,81,3
3,False,71,91,3
3,False,81,1,3
3,False,81,11,3
3,False,81,21,3
3,False,81,31,3
3,False,81,41,3
3,False,81,51,3
3,False,81,61,3
3,False,81,71,3
3,False,81,81,3
3,False,81,91,3
3,False,91,1,3
3,False,91,11,3
3,False,91,21,3
3,False,91,31,3
3,False,91,41,3
3,False,91,51,3
3,False,91,61,3
3,False,91,71,3
3,False,91,81,3
3,False,91,91,3
