compat,pairwise,theta_alpha,theta_beta,theta_gamma
1,True,31,31,1
1,True,31,31,3
1,True,31,31,5
1,True,31,31,7
1,True,31,31,9
1,True,31,31,11
1,True,31,31,13
1,True,31,31,15
1,True,31,31,17
1,True,31,31,19
3,True,31,31,1
3,True,31,31,3
3,True,31,31,5
3,True,31,31,7
3,True,31,31,9
3,True,31,31,11
3,True,31,31,13
3,True,31,31,15
3,True,31,31,17
3,True,31,31,19
5,True,31,31,1
5,True,31,31,3
5,True,31,31,5
5,True,31,31,7
5,True,31,31,9
5,True,31,31,11
5,True,31,31,13
5,True,31,31,15
5,True,31,31,17
5,True,31,31,19
7,True,31,31,1
7,True,31,31,3
7,True,31,31,5
7,True,31,31,7
7,True,31,31,9
7,True,31,31,11
7,True,31,31,13
7,True,31,31,15
7,True,31,31,17
7,True,31,31,19
9,True,31,31,1
9,True,31,31,3
9,True,31,31,5
9,True,31,31,7
9,True,31,31,9
9,True,31,31,11
9,True,31,31,13
9,True,31,31,15
9,True,31,31,17
9,True,31,31,19
11,True,31,31,1
11,True,31,31,3
11,True,31,31,5
11,True,31,31,7
11,True,31,31,9
11,True,31,31,11
11,True,31,31,13
11,True,31,31,15
11,True,31,31,17
11,True,31,31,19
13,True,31,31,1
13,True,31,31,3
13,True,31,31,5
13,True,31,31,7
13,True,31,31,9
13,True,31,31,11
13,True,31,31,13
13,True,31,31,15
13,True,31,31,17
13,True,31,31,19
15,True,31,31,1
15,True,31,31,3
15,True,31,31,5
15,True,31,31,7
15,True,31,31,9
15,True,31,31,11
15,True,31,31,13
15,True,31,31,15
15,True,31,31,17
15,True,31,31,19
17,True,31,31,1
17,True,31,31,3
17,True,31,31,5
17,True,31,31,7
17,True,31,31,9
17,True,31,31,11
17,True,31,31,13
17,True,31,31,15
17,True,31,31,17
17,True,31,31,19
19,True,31,31,1
19,True,31,31,3
19,True,31,31,5
19,True,31,31,7
19,True,31,31,9
19,True,31,31,11
19,True,31,31,13
19,True,31,31,15
19,True,31,31,17
19,True,31,31,19
